Principal Commodity,2012,2013
OC,1592,1715
GG,8917,8179
OM,698,0
BI,3388,3642
DB,4432,4734
SS,610,786
OC,753,0
RP,1297,1159
OF,0,532
BP,1446,750
PS,880,958
AC,0,562
HM,760,939
MT,642,777
MI,4530,4848
AW,910,936
EE,3015,2947
IP,622,602
IP,3407,3295
ME,654,701
OI,1034,1083
AP,3156,4015
CP,4739,5245
CE,1715,2295
EC,3767,3943
EI,3779,4141
TI,6570,8999
