Characteristics,NO. Of Units,Fixed Capital,Working Capital,Physical working Capital,Invested Capital,Outstanding Loan,No Of Workers,Mandays Of Workers,No Of Employees,Mandays Of Employees,Total Person Engagged,Wages To Workers,Total Emoluments,Prov. Fund & Other Benifits,Workmen & Staff Welfare Exp.,Labour Cost,Fuel Consumed,Material Consumed,Total Inputs,Products & By- Products,Value Of Output,Gross Value Added,Depriciation,Net Value Added,Rent Paid,Interest Paid,Net Fixed Capital Formation,Gross Fixed Capital Formation,Gross Capital Formation,Gross Value Addition In Fixed Assets,Net Income,Profit
243,88,13696,9210,7830,21526,16031,1849,520410,597,188055,2446,1566,3299,173,82,3554,9275,27538,42530,47178,50872,8342,1352,6990,37,2293,650,2002,1163,3019,4835,1281
251,26,12665,3276,11448,24113,3681,1584,464330,384,117120,1968,1909,2926,205,130,3261,2017,54507,60014,75005,76483,16469,1140,15329,38,3006,-331,809,387,1504,12835,9574
259,38,5687,3363,4469,10156,1263,800,230395,235,74025,1035,991,2380,89,30,2499,664,11029,14707,18296,20292,5585,629,4956,112,717,-191,438,459,471,4159,1660
261,2,164,485,412,576,122,22,6600,11,3080,33,24,56,4,1,61,22,1125,1184,1202,1229,45,19,26,1,10,-14,5,-331,0,40,-21
263,3,4046,115718,85605,89651,33,933,220451,254,87630,1187,1475,4022,247,24,4293,384,154238,157602,166268,166435,8833,2102,6731,9,38,-1389,713,58479,734,6693,2400
264,1,444,349,417,861,788,19,6745,8,2760,27,10,18,1,0,19,60,121,409,320,593,184,22,162,0,8,62,84,205,83,154,135
265,9,8092,112893,4788,12880,5102,684,221325,417,135525,1101,1200,4681,275,201,5157,181,17722,24402,23552,30626,6224,970,5254,79,934,1674,2644,3260,2539,5805,648
266,1,86,43,906,992,137,30,8250,24,6360,54,95,257,25,13,295,15,334,402,522,524,122,8,114,0,20,8,16,464,16,94,-201
271,48,10012,16577,16732,26744,9730,3307,1038870,944,283200,4251,4288,6923,156,93,7172,884,130059,153144,151495,166775,13631,1098,12533,132,4407,-303,795,1866,839,8690,1518
272,6,13403,442,72,13475,11254,79,21945,14,4130,93,114,158,4,3,165,123,112,594,211,339,-255,1232,-1487,1,6,6377,7609,7650,6485,-1492,-1657
273,58,25520,98750,35134,60654,33695,2537,773480,1164,401580,3701,3747,11650,299,186,12135,3640,152024,185308,135874,162179,-23129,3876,-27005,131,11349,11314,15190,8354,5112,-36691,-48826
274,5,438,567,574,1012,676,173,54180,41,11480,214,303,403,20,6,429,38,1434,4369,2115,5725,1356,85,1271,34,124,142,227,284,306,1116,687
275,1,11,219,20,31,174,3,301,2,600,5,1,4,0,0,4,1,4,9,14,17,8,1,7,0,26,-2,-1,-2,0,-3,-7
279,15,4365,4577,4342,8707,6378,943,276000,231,69300,1174,916,2532,106,25,2663,300,17882,22417,29123,33227,10810,448,10362,0,983,-831,-383,1024,494,9446,6783
310,71,8102,4244,6892,14994,3833,2361,664390,542,176150,2903,2955,4274,92,103,4469,476,20145,25395,27718,36833,11438,870,10568,105,560,1602,2472,3167,903,9986,5517
321,65,31695,37820,49826,81521,17298,8042,2416122,2014,604200,10056,9947,16198,1106,743,18047,1541,135047,147148,173866,180683,33535,4170,29365,130,3905,1929,6099,8770,15688,25901,7854
324,10,932,2523,4660,5592,1823,190,48675,425,129625,615,257,951,96,116,1163,241,3674,14711,6352,27197,12486,86,12400,61,69,25,111,1639,36,12273,11110
325,3,5444,-953,715,6159,326,1630,489000,145,43500,1775,1248,1656,170,48,1874,483,1751,4071,2359,6706,2635,271,2364,43,279,3338,3609,4203,3607,2074,200
329,30,1182,3385,70,1252,1533,258,76800,82,25830,340,291,706,0,0,706,105,11494,12141,15459,16008,3867,95,3772,0,322,-1020,-925,-1036,28,3495,2789
331,5,139,388,799,938,40,126,37800,74,24790,200,223,490,37,9,536,18,11,3654,0,4444,790,17,773,28,70,-1,16,171,16,710,174
452,59,18604,10246,16949,35553,4790,1307,393106,1810,561100,3117,1814,5301,282,245,5828,708,2466,80207,-38,87518,7311,1649,5662,466,1480,-2050,-401,3594,1293,3978,-1850
521,14,702,350,0,702,435,87,24080,24,7560,111,87,130,1,4,135,378,4,456,-1,965,509,98,411,1,83,68,166,166,190,337,202
581,2,118,601,10,128,578,8,2485,38,13110,46,14,114,7,18,139,32,1782,2175,1218,2591,416,25,391,6,19,1,26,29,26,377,238
829,1,290,161,0,290,36,116,34916,53,18285,169,14,159,6,0,165,60,15,161,0,507,346,75,271,1,1,-44,31,31,35,275,110
