customer,2012,2013,2014,2015,2016
household,15445.99,16970.96,19477.03,18723.08,21457.1
commercial,8131.11,10190.81,9717.04,11333.91,12672.04
industrial,16663.67,16083.37,15241.06,22253.83,14572.16
lights,617.38,681.82,820.38,906.02,943.81
waterSupply,1622.37,1532.11,1514.60,1509.34,1772.84
irrigation,14870.36,16327.82,13139.15,10688.09,14392.04
others,1924.81,837.21,831.59,5357.15,1790.64
total,59275.69,62624.10,60740.85,70771.42,67600.63
